code,disciplines
1558946,Wrestling
1558949,Wrestling
1558950,Wrestling
1558955,Wrestling
1558963,Wrestling
1559158,Swimming
1559387,Wrestling
1559454,Wrestling
1559457,Judo
1559471,Wrestling
1559474,Wrestling
1559512,Sailing
1559519,Sailing
1559523,Sailing
1559529,Sailing
1559539,Sailing
1559542,Sailing
1559549,Sailing
1559550,Sailing
1559558,Sailing
1559559,Sailing
1559566,Sailing
1559568,Sailing
1559580,Sailing
1559581,Sailing
1559918,Athletics
1559994,Surfing
1560071,Surfing
1560138,Surfing
1560166,Taekwondo
1560182,Athletics
1560261,Cycling Road
1560280,Table Tennis
1560283,Rugby Sevens
1560288,Rugby Sevens
1560290,Rugby Sevens
1560315,Rugby Sevens
1560342,Archery
1560348,Taekwondo
1560376,Football
1560451,Football
1560538,Triathlon
1560539,Triathlon
1560540,Triathlon
1560544,Triathlon
1560546,Triathlon
1560668,Archery
1560669,Wrestling
1560673,Sport Climbing
1560677,Sport Climbing
1560680,Badminton
1560689,Shooting
1560690,Shooting
1560705,Cycling Road
1560712,Wrestling
1560759,Artistic Gymnastics
1560760,Artistic Gymnastics
1560761,Artistic Gymnastics
1560762,Artistic Gymnastics
1560780,Rowing
1560781,Rowing
1560782,Rowing
1560783,Rowing
1560788,Rowing
1560793,Rowing
1560988,Archery
1560989,Archery
1560990,Archery
1560991,Archery
1561000,Archery
1561003,Archery
1561138,Judo
1561149,Canoe Slalom
1561237,Handball
1561239,Handball
1561242,Handball
1561243,Handball
1561248,Handball
1561249,Handball
1561250,Handball
1561253,Handball
1561255,Handball
1561256,Handball
1561257,Handball
1561261,Handball
1561264,Handball
1561269,Handball
1561272,Handball
1561274,Handball
1561276,Handball
1561303,Athletics
1561316,Hockey
