code,events
1543422,Women's 4 x 100m Relay
1543430,Men's Street
1543437,Women's Individual Stroke Play
1543443,Women's Singles
1543445,Women's Javelin Throw
1543446,Men's 400m
1543470,Men's Long Jump
1543471,Men's Discus Throw
1543474,Women's 400m
1543479,Women's Heptathlon
1543481,Marathon Race Walk Relay Mixed
1543483,Women
1543485,Women
1543487,Men
1543489,Men
1543490,Men
1543494,Women's Park
1543495,Women's Keirin
1543495,Women's Sprint
1543498,Men's Keirin
1543498,Men's Sprint
1543501,Men's Keirin
1543501,Men's Sprint
1543503,Women's 59kg
1543506,Men's 89kg
1543507,Men's 73kg
1543509,Women's 71kg
1543513,Women's 100m Breaststroke
1543540,Women's 200m Freestyle
1543542,Women's 50kg
1543549,Men's 100m Freestyle
1543549,Men's 200m Freestyle
1543554,Men's 1500m Freestyle
1543554,Men's 800m Freestyle
1543608,10m Air Rifle Men
1543615,Men's Greco-Roman 97kg
1543643,Men's Individual
1543694,Men's Singles
1543695,Men's Kayak Single 1000m
1543868,Women -52 kg
1543884,Women's 50m Freestyle
1543943,Men's 100m
1543950,Women's 100m Butterfly
1543963,Women's Individual
1543964,Women's Individual
1543965,Women's Individual
1543966,Men's Individual
1543967,Men's Individual
1543969,Men's Individual
1544063,Women -48 kg
1544081,Women's 75kg
1544098,Women's 400m Freestyle
1544123,Women's Park
1544127,Men's Park
1544131,Women's Park
1544148,Women's 100m Breaststroke
1544151,Duet
1544165,Women's 10km
1544168,Men's 10km
1544169,Men's 10km
1544179,Women's +81kg
1544192,Men's 3m Springboard
1544200,Women's Singles
1544203,Men's Singles
1544208,Men's 10m Platform
1544211,Women's Individual
1544214,Men's Boulder & Lead
1544215,Women's Boulder & Lead
1544218,Men's Boulder & Lead
1544220,Women's Boulder & Lead
1544228,Men's 100m Backstroke
1544301,Men's Singles
1544310,Women's Singles
1544321,Men -60 kg
1544327,Men's High Jump
1544334,Men's 4 x 400m Relay
1544335,Men's 4 x 400m Relay
1544336,Men's 4 x 400m Relay
1544338,Men's 4 x 400m Relay
1544339,Men's 4 x 400m Relay
1544346,Men's 3000m Steeplechase
1544350,Men's Triple Jump
1544354,Men's 20km Race Walk
1544355,Men's 20km Race Walk
1544358,Men's 20km Race Walk
1544360,Marathon Race Walk Relay Mixed
1544385,Men's Shot Put
1544388,Men's Javelin Throw
1544392,Men's 100m Freestyle
1544413,Men's 102kg
1544417,Men's 89kg
1544421,Women's 4 x 400m Relay
1544423,Women's 4 x 400m Relay
1544424,Men's +102kg
1544425,Women's 5000m
1544434,Men's Canoe Single
1544434,Men's Kayak Cross
1544436,Women
1544444,4 x 400m Relay Mixed
1544445,4 x 400m Relay Mixed
1544447,Women's Heptathlon
1544448,4 x 400m Relay Mixed
1544449,Women
1544454,Men's Double Sculls
1544460,Women's Four
1544461,Women's Double Sculls
1544462,Lightweight Women's Double Sculls
1544471,Women's 3000m Steeplechase
1544471,Women's 5000m
1544479,Women's 400m
1544479,Women's 4 x 400m Relay
1544485,Women's Javelin Throw
1544511,Women's 4 x 400m Relay
1544601,Women's Freestyle 53kg
1544602,Women's Freestyle 62kg
1544703,Women -57kg
1544803,Men's Freestyle 86kg
1544830,Men's Freestyle 65kg
1544831,Men's Freestyle 74kg
1544880,Men's Greco-Roman 87kg
1544881,Men's Greco-Roman 77kg
1544882,Men's Greco-Roman 130kg
1544894,Men's Greco-Roman 60kg
1544897,Men's Greco-Roman 97kg
1544908,Men's Freestyle 86kg
1544917,Women's Freestyle 50kg
1544928,Men's Greco-Roman 67kg
1544936,Women's Freestyle 57kg
1545015,Men -60 kg
1545017,Men -66 kg
1545022,Women -57 kg
1545023,Women -78 kg
1545058,Men's 1500m Freestyle
1545058,Men's 800m Freestyle
1545070,Women's Kayak Single 500m
1545086,Women's Canoe Single 200m
1545115,Women's Individual
1545116,Women's Individual
1545119,Men's Individual
1545123,Men's Individual
1545200,Women's Road Race
1545200,Women's Individual Time Trial
1545203,Men's Windsurfing
1545257,Women's 66kg
1545302,Men's Marathon
1545341,Men -73 kg
1545461,Women's Road Race
1545464,10m Air Pistol Men
1545464,10m Air Pistol Mixed Team
1545471,Skeet Women
1545478,Men's Road Race
1545496,Men's Kayak Single
1545496,Men's Kayak Cross
1545498,Women's Kayak Single
1545498,Women's Kayak Cross
1545501,Men's Canoe Single 1000m
1545512,Men's 61kg
1545688,Women
1545688,Women's All-Around
1545688,Women's Balance Beam
1545688,Women's Floor Exercise
1545688,Women's Uneven Bars
1545688,Women's Vault
1545803,Women's Individual
1545856,Women's 100m Butterfly
1545877,Women's Individual
1545879,Women's Road Race
1545881,Women's 100m
1545882,Men's 200m Individual Medley
1545903,Men's Cross-country
1545907,Men's Cross-country
1545909,Women's Cross-country
1545910,Women's Cross-country
1545913,Men
1545944,Men's 50m Freestyle
1545964,Men +80kg
1545966,Men's 100m
1546047,Men's 63.5kg
1546048,Women's 50kg
1546049,Women's 54kg
1546051,Men's 92kg
1546052,4 x 400m Relay Mixed
1546055,Women's 100m Backstroke
1546055,Women's 4 x 100m Freestyle Relay
1546055,Women's 50m Freestyle
1546057,Men's 71kg
1546073,Women's 200m
1546073,Women's 4 x 100m Relay
1546108,Men's Individual
1546108,Men's Team
1546108,Mixed Team
1546110,Men's Individual
1546110,Men's Team
1546112,Men's Individual
1546112,Men's Team
1546122,Men's 400m Freestyle
1546122,Men's 800m Freestyle
1546132,Women's Individual
1546132,Women's Team
1546133,Women's Individual
1546133,Women's Team
1546200,Women's Individual
1546200,Women's Team
1546200,Mixed Team
1546314,Men's 10m Platform
1546614,Men's Individual Stroke Play
1546621,Women -48 kg
1546651,Men -81 kg
1546651,Mixed Team
1546662,Men's Single Sculls
1546670,Women
1546675,Women
1546687,Women -67kg
1546688,Women -49kg
1546696,Men -68kg
1546697,Men -58kg
1546749,Women's 60kg
1546985,Women +67kg
1547004,Men's 3m Springboard
1547098,Men's 100m Backstroke
1547119,Women's Dinghy
1547131,Women's 200m Freestyle
1547690,Men's Singles
1547764,Women's 100m
1547788,Men's 200m
1547814,Men's 100m
1547863,Men's Quadruple Sculls
1547865,Women's Double Sculls
1547866,Women's Double Sculls
1547870,Lightweight Men's Double Sculls
1547871,Men's Quadruple Sculls
1547873,Lightweight Men's Double Sculls
1547875,Men's Four
1547876,Men's Eight
1547877,Women's Eight
1547891,Men's Eight
1547892,Men's Eight
1547893,Men's Eight
1547894,Women's Eight
1547895,Men's Eight
1547896,Men's Eight
1547897,Women's Eight
1547898,Women's Eight
1547899,Men's Four
1547901,Men's Pair
1547902,Men's Pair
1547905,Men's Eight
1547906,Men's Four
1547910,Men's Double Sculls
1547911,Women's Eight
1547912,Men's Eight
1547913,Men's Eight
1547914,Women's Eight
1548262,Women's Marathon
1548337,Women's 400m
1548337,Women's 4 x 400m Relay
1548337,4 x 400m Relay Mixed
1548352,Women's 4 x 100m Relay
1548381,Women -67kg
1548401,Men +80kg
1548402,Women's 200m Butterfly
1548409,Men's 400m Freestyle
1548487,Jumping Individual
1548487,Jumping Team
1548514,"Men's 10,000m"
1548514,Men's 5000m
1548516,Women's Marathon
1548527,"Women's 10,000m"
1548538,Men's Road Race
1548538,Men's Individual Time Trial
1548543,Women's 100m
1548804,Women -57 kg
1548804,Mixed Team
1548817,Men -90 kg
1548817,Mixed Team
1548824,Women +78 kg
1548824,Mixed Team
1548829,Men -73 kg
1548829,Mixed Team
1548845,Women's 3000m Steeplechase
1548852,Women's Single Sculls
1548857,Men's Freestyle 57kg
1548868,Men's Canoe Single 1000m
1548868,Men's Canoe Double 500m
1548871,Men's Canoe Double 500m
1548928,Women -57 kg
1548933,Individual All-Around
1548934,Men +100 kg
1548934,Mixed Team
1548935,Men -66 kg
1548941,Men -66 kg
1548941,Mixed Team
1548948,Individual All-Around
1548949,Men's Road Race
1548949,Men's Individual Time Trial
1548954,Women -63 kg
1548954,Mixed Team
1548958,Men
1548976,Group All-Around
1548985,Group All-Around
1548999,Group All-Around
1549016,Group All-Around
1549023,Group All-Around
1549030,10m Air Pistol Women
1549030,25m Pistol Women
1549041,Men's Individual
1549335,Women's Road Race
1549335,Women's Individual Time Trial
1549386,10m Air Pistol Men
1549446,Men
1549548,Men
1549970,Men's 100m Backstroke
1549970,Men's 200m Backstroke
1549971,Women's 200m Individual Medley
1550000,Men's Individual Stroke Play
1550005,Men's Singles
1550006,Men's Singles
1550011,Women's Singles
1550025,Women
1550027,Women
1550028,Women
1550031,Women
1550032,Women
1550035,Women
1550037,Men's Individual
1550042,Women
1550045,Women
1550051,Women
1550067,Women's Dinghy
1550072,Women's Doubles
1550072,Women's Singles
1550074,Women's Doubles
1550074,Women's Singles
1550075,Women's Doubles
1550088,Men -81 kg
1550089,Women -70 kg
1550108,Men's 100m
1550116,Men's Greco-Roman 87kg
1550119,Men's Greco-Roman 67kg
1550148,Women's 49kg
1550150,Men's Singles
1550154,Women's 71kg
1550162,Women -52 kg
1550164,Women -57 kg
1550167,Women -63 kg
1550168,Women -78 kg
1550169,Men -73 kg
1550170,Women
1550170,Women's All-Around
1550170,Women's Balance Beam
1550170,Women's Floor Exercise
1550170,Women's Uneven Bars
1550170,Women's Vault
1550170,Women's Team
1550174,Women
1550174,Women's All-Around
1550174,Women's Balance Beam
1550174,Women's Floor Exercise
1550174,Women's Uneven Bars
1550174,Women's Vault
1550174,Women's Team
1550176,Women
1550176,Women's All-Around
1550176,Women's Balance Beam
1550176,Women's Floor Exercise
1550176,Women's Uneven Bars
1550176,Women's Vault
1550176,Women's Team
1550184,Men's 63.5kg
1550186,Women
